P1	P2	P3	phylum	class	metric	value	significant? (Y/N; p-value; Z statistic)	genome_data_type	reference	collector	date	notes	Reporting type	Human associated?	Significance Test	divergence time (mya)	Recombination (+,0,-)	Sex chromosomes (+,0,-)
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera hispaniola	Ascomycetes	Sordariomycetes	D	0.0752	5.4599	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S5 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera sitophila	Ascomycetes	Sordariomycetes	D	0.0743	6.1768	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S6 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera sitophila	Ascomycetes	Sordariomycetes	D	0.0772	6.4369	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S6 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera sitophila	Ascomycetes	Sordariomycetes	D	-0.0437	-2.4548	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S6 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera sitophila	Ascomycetes	Sordariomycetes	D	-0.0439	-2.4307	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S6 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera sitophila	Ascomycetes	Sordariomycetes	D	-0.0099	-0.8207	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S6 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera sitophila	Ascomycetes	Sordariomycetes	D	-0.0103	-0.8431	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S6 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera sitophila	Ascomycetes	Sordariomycetes	D	-0.041	-3.6506	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S6 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera sitophila	Ascomycetes	Sordariomycetes	D	-0.0612	-3.3099	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S6 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera sitophila	Ascomycetes	Sordariomycetes	D	-0.0604	-3.4383	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S6 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera sitophila	Ascomycetes	Sordariomycetes	D	-0.0341	-1.485	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S6 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera sitophila	Ascomycetes	Sordariomycetes	D	-0.1824	-5.9503	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S6 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera sitophila	Ascomycetes	Sordariomycetes	D	-0.0328	-1.8247	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S6 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera sitophila	Ascomycetes	Sordariomycetes	D	-0.159	-4.643	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S6 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera sitophila	Ascomycetes	Sordariomycetes	D	-0.0341	-1.5231	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S6 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera sitophila	Ascomycetes	Sordariomycetes	D	-0.0196	-1.1976	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S6 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera sitophila	Ascomycetes	Sordariomycetes	D	-0.0368	-3.3117	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S6 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera sitophila	Ascomycetes	Sordariomycetes	D	-0.0629	-3.2861	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S6 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera sitophila	Ascomycetes	Sordariomycetes	D	-0.1568	-4.2982	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S6 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera sitophila	Ascomycetes	Sordariomycetes	D	-0.1637	-4.5735	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S6 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera sitophila	Ascomycetes	Sordariomycetes	D	-0.0317	-1.3891	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S6 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera sitophila	Ascomycetes	Sordariomycetes	D	-0.0661	-3.4906	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S6 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera sitophila	Ascomycetes	Sordariomycetes	D	-0.0623	-3.2621	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S6 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera sitophila	Ascomycetes	Sordariomycetes	D	-0.036	-1.5872	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S6 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera sitophila	Ascomycetes	Sordariomycetes	D	0.0459	3.8115	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S6 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera sitophila	Ascomycetes	Sordariomycetes	D	0.0447	3.6809	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S6 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera sitophila	Ascomycetes	Sordariomycetes	D	0.045	3.7095	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S6 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera sitophila	Ascomycetes	Sordariomycetes	D	0.045	3.7328	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S6 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera sitophila	Ascomycetes	Sordariomycetes	D	0.0435	3.5393	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S6 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera sitophila	Ascomycetes	Sordariomycetes	D	0.0425	3.5224	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S6 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera sitophila	Ascomycetes	Sordariomycetes	D	0.0487	4.1148	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S6 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera sitophila	Ascomycetes	Sordariomycetes	D	0.0487	4.1039	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S6 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera sitophila	Ascomycetes	Sordariomycetes	D	0.0422	3.5104	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S6 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera sitophila	Ascomycetes	Sordariomycetes	D	0.0468	4.0168	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S6 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera sitophila	Ascomycetes	Sordariomycetes	D	0.042	3.4455	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S6 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera sitophila	Ascomycetes	Sordariomycetes	D	0.0448	3.7149	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S6 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera sitophila	Ascomycetes	Sordariomycetes	D	0.046	3.8217	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S6 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera sitophila	Ascomycetes	Sordariomycetes	D	0.0416	3.4377	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S6 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera sitophila	Ascomycetes	Sordariomycetes	D	0.0421	3.5005	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S6 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera sitophila	Ascomycetes	Sordariomycetes	D	0.0447	3.6881	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S6 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera sitophila	Ascomycetes	Sordariomycetes	D	0.0478	3.8905	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S6 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera sitophila	Ascomycetes	Sordariomycetes	D	0.0452	3.7319	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S6 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera sitophila	Ascomycetes	Sordariomycetes	D	0.0477	3.996	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S6 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera sitophila	Ascomycetes	Sordariomycetes	D	0.0469	3.9061	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S6 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera sitophila	Ascomycetes	Sordariomycetes	D	0.0452	3.767	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S6 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera sitophila	Ascomycetes	Sordariomycetes	D	-0.0102	-0.2827	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S6 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera sitophila	Ascomycetes	Sordariomycetes	D	-0.0143	-0.4045	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S6 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera sitophila	Ascomycetes	Sordariomycetes	D	0.0022	0.1242	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S6 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera sitophila	Ascomycetes	Sordariomycetes	D	0.0028	0.1575	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S6 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera sitophila	Ascomycetes	Sordariomycetes	D	0.0023	0.1316	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S6 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera sitophila	Ascomycetes	Sordariomycetes	D	0.001	0.0572	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S6 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera sitophila	Ascomycetes	Sordariomycetes	D	0.0013	0.0704	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S6 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera sitophila	Ascomycetes	Sordariomycetes	D	0	0	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S6 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera sitophila	Ascomycetes	Sordariomycetes	D	0.0075	0.4262	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S6 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera sitophila	Ascomycetes	Sordariomycetes	D	0.009	0.5138	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S6 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera sitophila	Ascomycetes	Sordariomycetes	D	0.001	0.0553	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S6 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera sitophila	Ascomycetes	Sordariomycetes	D	0.0032	0.1787	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S6 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera sitophila	Ascomycetes	Sordariomycetes	D	-0.1516	-7.9488	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S6 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera sitophila	Ascomycetes	Sordariomycetes	D	-0.152	-8.0117	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S6 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera sitophila	Ascomycetes	Sordariomycetes	D	0.0042	0.2422	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S6 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera sitophila	Ascomycetes	Sordariomycetes	D	0.0032	0.182	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S6 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera sitophila	Ascomycetes	Sordariomycetes	D	-0.0936	-5.1894	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S6 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera sitophila	Ascomycetes	Sordariomycetes	D	-0.0936	-5.1854	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S6 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera sitophila	Ascomycetes	Sordariomycetes	D	0.0011	0.0605	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S6 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera sitophila	Ascomycetes	Sordariomycetes	D	0.0008	0.0454	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S6 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera sitophila	Ascomycetes	Sordariomycetes	D	0.0035	0.197	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S6 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera sitophila	Ascomycetes	Sordariomycetes	D	0.0033	0.1843	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S6 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera sitophila	Ascomycetes	Sordariomycetes	D	0.0059	0.3298	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S6 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera sitophila	Ascomycetes	Sordariomycetes	D	0.0063	0.3548	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S6 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera sitophila	Ascomycetes	Sordariomycetes	D	-0.094	-5.2042	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S6 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera sitophila	Ascomycetes	Sordariomycetes	D	-0.0942	-5.23	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S6 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera sitophila	Ascomycetes	Sordariomycetes	D	-0.0946	-5.2687	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S6 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera sitophila	Ascomycetes	Sordariomycetes	D	-0.0943	-5.2668	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S6 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera sitophila	Ascomycetes	Sordariomycetes	D	0.0042	0.2368	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S6 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera sitophila	Ascomycetes	Sordariomycetes	D	0.0053	0.2962	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S6 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera crassa	Ascomycetes	Sordariomycetes	D	-0.0027	-0.3536	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S7 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera crassa	Ascomycetes	Sordariomycetes	D	-0.0024	-0.3112	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S7 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera crassa	Ascomycetes	Sordariomycetes	D	-0.0219	-3.051	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S7 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera crassa	Ascomycetes	Sordariomycetes	D	-0.0217	-3.0434	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S7 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera crassa	Ascomycetes	Sordariomycetes	D	-0.0049	-0.7334	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S7 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera crassa	Ascomycetes	Sordariomycetes	D	-0.0045	-0.682	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S7 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera crassa	Ascomycetes	Sordariomycetes	D	0.0093	1.3538	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S7 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera crassa	Ascomycetes	Sordariomycetes	D	0.0007	0.0973	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S7 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera crassa	Ascomycetes	Sordariomycetes	D	0.0015	0.2096	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S7 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera crassa	Ascomycetes	Sordariomycetes	D	0	-0.0051	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S7 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera crassa	Ascomycetes	Sordariomycetes	D	-0.0075	-0.9645	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S7 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera crassa	Ascomycetes	Sordariomycetes	D	-0.0024	-0.3976	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S7 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera crassa	Ascomycetes	Sordariomycetes	D	-0.0088	-1.1401	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S7 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera crassa	Ascomycetes	Sordariomycetes	D	0.0006	0.0914	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S7 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera crassa	Ascomycetes	Sordariomycetes	D	0.0051	0.7662	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S7 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera crassa	Ascomycetes	Sordariomycetes	D	0.0012	0.1903	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S7 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera crassa	Ascomycetes	Sordariomycetes	D	0.0111	1.5131	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S7 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera crassa	Ascomycetes	Sordariomycetes	D	-0.0137	-1.7877	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S7 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera crassa	Ascomycetes	Sordariomycetes	D	-0.015	-1.988	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S7 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera crassa	Ascomycetes	Sordariomycetes	D	-0.0014	-0.1903	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S7 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera crassa	Ascomycetes	Sordariomycetes	D	-0.0027	-0.3365	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S7 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera crassa	Ascomycetes	Sordariomycetes	D	-0.0009	-0.1143	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S7 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera crassa	Ascomycetes	Sordariomycetes	D	-0.0001	-0.0147	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S7 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera crassa	Ascomycetes	Sordariomycetes	D	0.0106	1.505	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S7 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera crassa	Ascomycetes	Sordariomycetes	D	0.0098	1.4299	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S7 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera crassa	Ascomycetes	Sordariomycetes	D	0.0083	1.2372	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S7 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera crassa	Ascomycetes	Sordariomycetes	D	0.0086	1.2789	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S7 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera crassa	Ascomycetes	Sordariomycetes	D	0.0092	1.3346	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S7 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera crassa	Ascomycetes	Sordariomycetes	D	0.0086	1.2981	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S7 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera crassa	Ascomycetes	Sordariomycetes	D	0.0091	1.2871	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S7 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera crassa	Ascomycetes	Sordariomycetes	D	0.0099	1.4062	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S7 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera crassa	Ascomycetes	Sordariomycetes	D	0.0062	0.8864	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S7 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera crassa	Ascomycetes	Sordariomycetes	D	0.0057	0.8099	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S7 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera crassa	Ascomycetes	Sordariomycetes	D	0.0089	1.3328	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S7 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera crassa	Ascomycetes	Sordariomycetes	D	0.0086	1.2526	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S7 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera crassa	Ascomycetes	Sordariomycetes	D	0.0046	0.6437	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S7 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera crassa	Ascomycetes	Sordariomycetes	D	0.005	0.7072	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S7 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera crassa	Ascomycetes	Sordariomycetes	D	0.0066	0.9576	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S7 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera crassa	Ascomycetes	Sordariomycetes	D	0.0063	0.9224	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S7 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera crassa	Ascomycetes	Sordariomycetes	D	0.0076	1.05	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S7 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera crassa	Ascomycetes	Sordariomycetes	D	0.0053	0.764	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S7 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera crassa	Ascomycetes	Sordariomycetes	D	0.0034	0.4962	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S7 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera crassa	Ascomycetes	Sordariomycetes	D	0.0112	0.5499	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S7 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera crassa	Ascomycetes	Sordariomycetes	D	0.0103	0.5385	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S7 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera crassa	Ascomycetes	Sordariomycetes	D	0.0021	0.3226	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S7 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera crassa	Ascomycetes	Sordariomycetes	D	0.0021	0.3185	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S7 multiple strains)	specific configurations	no	Z			
